HUD frame time nsec:,6944000

Range Index,Elapsed Time, First Event,Last Event
0,27648,4,4
1,1920,25,25
2,1728,31,31
3,1376,37,37
4,1568,43,43
5,1408,49,49
6,1728,55,55
7,1696,61,61
8,1696,67,67
9,1696,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,2912,97,97
14,1696,103,103
15,1696,109,109
16,1696,115,115
17,1696,121,121
18,1696,127,127
19,1728,133,133
20,2816,139,139
21,1696,145,145
22,1696,151,151
23,1696,157,157
24,1696,163,163
25,1696,169,169
26,1696,175,175
27,1696,181,181
28,1696,187,187
29,1696,193,193
30,1568,199,199
31,1632,205,205
32,1696,211,211
33,1664,217,217
34,1760,223,223
35,1696,229,229
36,1664,235,235
37,1696,241,241
38,1728,247,247
39,1664,253,253
40,1408,259,259
41,1792,265,265
42,1696,271,271
43,1696,277,277
44,47392,283,283
45,1408,289,289
46,1952,295,295
47,3616,301,301
48,1792,307,307
49,1696,313,313
50,4448,319,319
51,1696,325,325
52,1728,331,331
53,1664,337,337
54,1696,343,343
55,1696,349,349
56,18624,355,355
57,1920,361,361
58,1344,367,367
59,1696,373,373
60,1728,379,379
61,1696,385,385
62,1696,391,391
63,1696,397,397
64,1696,403,403
65,1696,409,409
66,1728,415,415
67,1696,421,421
68,1696,427,427
69,1696,433,433
70,1728,439,439
71,1696,445,445
72,1696,451,451
73,1696,457,457
74,1376,463,463
75,1696,469,469
76,1696,475,475
77,1664,481,481
78,1728,487,487
79,1696,493,493
80,1696,499,499
81,1696,505,505
82,1728,511,511
83,163424,517,517
84,126208,523,523
85,4864,525,525
86,53728,549,549
87,26688,558,558
88,1696,591,591
89,1696,601,601
90,1696,611,611
91,1696,621,621
92,1696,631,631
93,1696,641,641
94,1312,651,651
95,1696,661,661
96,1696,671,671
97,1696,681,681
98,1696,691,691
99,1696,701,701
100,1696,711,711
101,1696,721,721
102,1696,731,731
103,8448,741,741
104,1664,751,751
105,1664,761,761
106,1696,771,771
107,1696,781,781
108,1696,816,816
109,1664,832,832
110,1664,848,848
111,1696,864,864
112,1696,880,880
113,3554016,885,885

Range Index,Elapsed Time, First Event,Last Event
0,28000,4,4
1,1504,25,25
2,1792,31,31
3,1440,37,37
4,1728,43,43
5,1696,49,49
6,1696,55,55
7,1696,61,61
8,1440,67,67
9,1728,73,73
10,1696,79,79
11,1696,85,85
12,1696,91,91
13,1696,97,97
14,1696,103,103
15,1696,109,109
16,1696,115,115
17,1696,121,121
18,1696,127,127
19,1696,133,133
20,1696,139,139
21,1728,145,145
22,1696,151,151
23,1696,157,157
24,1696,163,163
25,1696,169,169
26,1696,175,175
27,1696,181,181
28,1696,187,187
29,1664,193,193
30,1696,199,199
31,1696,205,205
32,1696,211,211
33,318304,217,217
34,1504,223,223
35,112064,229,229
36,2400,235,235
37,1888,241,241
38,4192,247,247
39,40704,253,253
40,31104,259,259
41,11616,265,265
42,1664,271,271
43,2144,277,277
44,1920,283,283
45,1888,289,289
46,1728,295,295
47,1696,301,301
48,1696,307,307
49,1728,313,313
50,1376,319,319
51,1696,325,325
52,1696,331,331
53,1696,337,337
54,1696,343,343
55,1696,349,349
56,1696,355,355
57,1696,361,361
58,1696,367,367
59,1312,373,373
60,1696,379,379
61,1696,385,385
62,1696,391,391
63,1696,397,397
64,1696,403,403
65,1696,409,409
66,1696,415,415
67,1696,421,421
68,1664,427,427
69,1696,433,433
70,1696,439,439
71,1696,445,445
72,1728,451,451
73,1728,457,457
74,1696,463,463
75,1728,469,469
76,1728,475,475
77,1696,481,481
78,1696,487,487
79,1696,493,493
80,1696,499,499
81,1696,505,505
82,1696,511,511
83,143264,517,517
84,123136,523,523
85,4928,525,525
86,141088,549,549
87,124128,558,558
88,1696,591,591
89,1728,601,601
90,1696,611,611
91,1824,621,621
92,1664,631,631
93,1696,641,641
94,1696,651,651
95,1728,661,661
96,3040,671,671
97,21952,681,681
98,1568,691,691
99,1696,701,701
100,2208,711,711
101,1696,721,721
102,1856,731,731
103,1696,741,741
104,5760,751,751
105,10688,761,761
106,6080,771,771
107,2112,781,781
108,1696,816,816
109,1696,832,832
110,1696,848,848
111,1312,864,864
112,1696,880,880
113,2613024,885,885
